Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","ANT_GENERAL","Firefly_2400",150.000000,-92.000000,-90.000000,top
"ANT2","ANT_PCB_MONO_2PIN","Firefly_868",150.000000,-92.000000,-90.000000,top
"BLN1","BALUN868JOHANSON","BALUN_JOHANSON868",122.600000,-96.600000,180.000000,top
"C1","10u","CAP_0603",172.400000,-83.800000,0.000000,top
"C2","0.1u","CAP_0402",174.600000,-83.800000,-90.000000,top
"C3","0.1u","CAP_0402",159.900000,-89.000000,0.000000,top
"C4","12pF","CAP_0402",170.800000,-91.300000,-90.000000,top
"C5","12pF","CAP_0402",169.800000,-91.300000,-90.000000,top
"C6","10u","CAP_0603",163.800000,-84.600000,90.000000,top
"C7","0.8pF","CAP_0402",172.900000,-97.000000,-90.000000,top
"C8","4.7u","CAP_0603",164.100000,-90.700000,-90.000000,top
"C9","0.1u","CAP_0402",171.800000,-91.300000,-90.000000,top
"C10","6.8pF","CAP_0402",159.808000,-94.002700,90.000000,top
"C11","6.8pF","CAP_0402",159.808000,-96.002700,-90.000000,top
"C12","18pF","CAP_0402",176.600000,-95.600000,180.000000,top
"C13","18pF","CAP_0402",172.800000,-91.300000,-90.000000,top
"C14","0.1u","CAP_0402",163.200000,-99.900000,0.000000,top
"C17","1u","CAP_0402",167.000000,-91.200000,-90.000000,top
"C18","10u","CAP_0603",171.900000,-89.200000,0.000000,top
"C19","100pF","CAP_0402",174.500000,-95.600000,180.000000,top
"C21","0.1u","CAP_0402",163.300000,-94.100000,-90.000000,top
"C22","18pF","CAP_0402",127.000000,-87.900000,180.000000,top
"C23","18pF","CAP_0402",124.300000,-90.100000,90.000000,top
"C24","0.1u","CAP_0402",132.100000,-95.500000,180.000000,top
"C25","10u","CAP_0603",129.100000,-102.200000,-90.000000,top
"C26","0.1u","CAP_0402",124.400000,-100.800000,-90.000000,top
"C27","0.1u","CAP_0402",122.600000,-98.600000,180.000000,top
"C28","0.1u","CAP_0402",122.600000,-94.600000,180.000000,top
"C29","0.1u","CAP_0402",127.100000,-92.800000,0.000000,top
"C30","0.1u","CAP_0402",132.100000,-96.600000,0.000000,top
"C31","0.1u","CAP_0402",127.600000,-101.700000,-90.000000,top
"C33","DoNotMount","CAP_0402",120.900000,-96.600000,90.000000,top
"C34","2.7pF","CAP_0402",119.800000,-96.600000,90.000000,top
"D1","BAT54WS","SOD323",167.500000,-83.800000,0.000000,top
"D2","BAT54WS","SOD323",183.200000,-88.500000,180.000000,top
"DA1","NCP1400","SOT23-5",167.500000,-86.400000,-90.000000,top
"DD1","EEPROM_I2C","SO8_150MIL",158.611000,-84.155400,180.000000,top
"DD2","NRF52832","QFN-48_EP_6x6_Pitch0.4mm",168.600000,-97.000000,0.000000,top
"L1","22uH","IND_1210_LQH32C",172.400000,-86.500000,0.000000,top
"L2","10uH","IND_0603",165.700000,-90.700000,90.000000,top
"L3","3.9nH","IND_0402",174.500000,-97.500000,0.000000,top
"L4","15nH","IND_0402",168.100000,-90.300000,-90.000000,top
"L6","BLM15AG102SN1","IND_0402",162.300000,-98.700000,180.000000,top
"L7","BLM15AG102SN1","IND_0402",131.200000,-101.300000,0.000000,top
"L8","8.2nH","IND_0402",120.300000,-98.300000,0.000000,top
"Logo1","Logo","Ostranna_12d7_10d1",107.000000,-92.000000,90.000000,top
"Q1","LED_RGB 5050","LED_5050",150.000000,-92.000000,0.000000,top
"Q2","MMBT2222","SOT23-3",178.800000,-86.700000,90.000000,top
"R1","10k","RES_0603",157.700000,-91.200000,90.000000,top
"R2","100R","RES_0603",154.800000,-93.600000,180.000000,top
"R3","100R","RES_0603",154.800000,-92.000000,180.000000,top
"R4","100R","RES_0603",154.800000,-90.400000,180.000000,top
"R5","10k","RES_0603",141.300000,-92.800000,90.000000,top
"R6","10k","RES_0603",159.700000,-91.200000,90.000000,top
"R7","10k","RES_0603",136.200000,-92.800000,90.000000,top
"R8","150R","RES_0603",143.800000,-92.800000,90.000000,top
"R9","100k","RES_0603",163.400000,-87.100000,180.000000,top
"R10","1k","RES_0603",176.300000,-86.700000,90.000000,top
"R11","56k","RES_0603",126.100000,-102.200000,-90.000000,top
"R12","56k","RES_0603",135.600000,-96.800000,-90.000000,top
"RP1","REFPOINT","REF_POINT_1MM",125.000000,-81.700000,0.000000,top
"RP2","REFPOINT","REF_POINT_1MM",175.000000,-102.300000,0.000000,top
"SW1","BUTTON","BTN_4x4_SMD",150.000000,-83.000000,180.000000,top
"SW3","BUTTON","BTN_4x4_SMD",150.000000,-101.000000,0.000000,top
"TP1","TESTPOINT","TESTPOINT_1MM",133.967000,-94.556100,0.000000,top
"TP2","TESTPOINT","TESTPOINT_1MM",135.000000,-99.300000,0.000000,top
"XTAL1","32768","03215C2",161.408000,-95.002700,90.000000,top
"XTAL2","32MHz","03225C4",174.900000,-92.400000,-90.000000,top
"XTAL3","27MHz","03225C4",127.000000,-90.100000,180.000000,top
